loai_hinh,gia_ban,log_gia_ban,gia_m2,dien_tich,chieu_ngang,dien_tich_su_dung,so_phong_ngu,so_phong_ve_sinh,tong_so_tang,tinh_trang_noi_that,giay_to_phap_ly,dac_diem,quan,room_density,bath_density,area_per_floor,frontage_density,desc_length,price_zscore_district,price_percentile_district
"Nhà ngõ, hẻm",5.35,1.8484548129046003,133.75,40.0,3.3,40.0,2,2,2,Nội thất cao cấp,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.05,0.05,20.0,0.08249999999999999,124,-0.25138271469420126,0.28471138845553823
"Nhà ngõ, hẻm",6.99,2.0781907597781832,122.63,57.0,3.8,150.0,7,3,3,Nội thất đầy đủ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.12280701754385964,0.05263157894736842,50.0,0.06666666666666667,240,-0.12812120053973314,0.5425117004680188
"Nhà ngõ, hẻm",5.39,1.8547342683894434,134.75,40.0,4.0,120.0,3,3,3,Nội thất cao cấp,Đã có sổ,Nhà nở hậu,Binh Thanh,0.075,0.075,40.0,0.1,253,-0.24837633630018985,0.29368174726989077
"Nhà ngõ, hẻm",3.98,1.6054298910365616,209.47,19.0,3.8,19.0,2,3,3,Nội thất cao cấp,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.10526315789473684,0.15789473684210525,6.333333333333333,0.19999999999999998,314,-0.3543511746890922,0.12012480499219969
"Nhà ngõ, hẻm",5.98,1.943048916774281,213.57,28.0,4.8,28.0,3,3,3,Không rõ,Không rõ,Không rõ,Binh Thanh,0.10714285714285714,0.10714285714285714,9.333333333333334,0.17142857142857143,375,-0.2040322549885214,0.39001560062402496
"Nhà mặt phố, mặt tiền",22.5,3.157000421150113,401.79,56.0,4.1,250.0,5,4,5,Nội thất đầy đủ,Đã có sổ,Mặt tiền,Binh Thanh,0.08928571428571429,0.07142857142857142,50.0,0.0732142857142857,150,1.0376020217381938,0.9609984399375975
"Nhà mặt phố, mặt tiền",30.0,3.4339872044851463,375.0,80.0,4.0,218.0,5,4,4,Hoàn thiện cơ bản,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.0625,0.05,54.5,0.05,1011,1.6012979706153343,0.9865444617784711
"Nhà ngõ, hẻm",10.8,2.468099531471619,122.73,88.0,8.0,88.0,9,6,3,Nội thất đầy đủ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.10227272727272728,0.06818181818181818,29.333333333333332,0.09090909090909091,648,0.15823634148985435,0.8071372854914196
"Nhà ngõ, hẻm",7.0,2.0794415416798357,111.11,63.0,4.2,240.0,4,4,4,Hoàn thiện cơ bản,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.06349206349206349,0.06349206349206349,60.0,0.06666666666666667,510,-0.12736960594123029,0.5514820592823713
"Nhà ngõ, hẻm",7.8,2.174751721484161,169.57,46.0,4.0,46.0,3,3,3,Nội thất đầy đủ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.06521739130434782,0.06521739130434782,15.333333333333334,0.08695652173913043,402,-0.06724203806100197,0.6372854914196567
"Nhà mặt phố, mặt tiền",9.4,2.341805806147327,125.33,75.0,4.0,75.0,4,4,3,Nội thất cao cấp,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.05333333333333334,0.05333333333333334,25.0,0.05333333333333334,388,0.053013097699454746,0.7556552262090483
"Nhà mặt phố, mặt tiền",32.6,3.5145260669691587,210.32,155.0,4.8,185.0,1,3,3,Không rõ,Đã có sổ,Mặt tiền,Binh Thanh,0.0064516129032258064,0.01935483870967742,61.666666666666664,0.03096774193548387,303,1.7967125662260766,0.9879095163806553
